winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
10,17,84,86,88
33,45,53,63,81
20,22,58,67,75
5,17,53,54,88
21,71,75,85,106
14,26,30,48,97
13,18,20,40,53
3,67,74,88,98
28,54,75,84,104
11,28,41,87,103
26,47,49,71,99
13,34,41,68,87
20,29,34,38,53
39,50,63,88,93
11,26,48,51,66
23,55,64,79,94
10,20,28,35,68
39,48,84,87,102
9,41,76,84,109
8,27,50,62,97
39,57,102,106,110
13,22,32,84,104
22,30,89,100,110
5,46,48,51,83
1,21,26,55,112
20,25,50,67,88
26,29,57,97,106
9,11,51,64,86
21,28,56,84,87
1,20,39,65,66
46,51,54,57,75
8,26,37,78,87
19,27,47,65,91
10,31,74,88,96
15,17,53,65,101
31,41,49,64,68
19,26,72,89,112
7,9,12,39,98
6,20,26,35,37
3,7,21,58,72
1,27,33,34,60
31,43,56,63,92
29,35,49,92,98
7,17,26,29,109
46,54,55,83,87
20,39,63,65,68
20,29,30,58,106
7,36,63,64,74
1,53,73,86,97
8,39,51,85,87
8,26,39,50,97
1,29,40,78,84
13,26,44,55,103
51,63,65,73,102
65,66,69,77,86
1,15,31,78,84
48,86,101,103,104
5,7,25,39,46
8,11,26,31,96
26,28,50,74,80
19,29,45,64,102
8,30,69,74,107
40,53,54,66,73
39,50,51,90,102
21,27,55,60,72
16,29,39,48,68
32,41,48,74,111
5,8,29,46,51
29,39,91,101,104
20,29,63,68,75
21,68,71,85,106
8,20,38,80,101
13,70,72,84,102
7,44,46,55,112
21,26,28,54,112
7,41,64,109,112
43,50,67,85,96
15,20,68,78,82
11,30,51,59,83
7,8,39,86,97
12,52,57,86,100
14,25,46,79,96
17,28,52,79,96
20,31,48,76,83
26,50,69,74,93
12,34,84,87,97
23,41,98,109,111
1,25,29,79,88
41,68,74,98,107
9,14,44,75,110
13,33,52,53,77
15,51,52,56,71
11,55,70,71,112
20,22,36,41,65
21,47,68,93,100
8,9,16,23,27
8,11,37,41,87
21,32,95,97,106
6,40,43,56,92
16,23,55,64,67
46,71,72,87,100
12,13,54,86,90
5,21,47,69,88
8,14,26,29,40
7,15,20,34,52
27,35,43,83,96
2,11,50,86,93
22,26,55,64,72
13,25,65,77,86
3,9,14,47,86
19,33,63,91,96
20,31,41,45,67
7,30,67,71,74
2,40,48,76,79
17,70,84,98,107
13,41,51,53,68
8,63,76,86,92
51,68,72,81,88
30,51,52,81,85
15,20,34,78,84
17,26,57,94,97
3,30,45,79,93
49,71,72,87,100
17,19,53,91,98
39,52,62,71,85
1,22,53,96,101
3,59,76,100,103
40,65,90,93,107
5,74,77,88,99
30,35,40,45,93
26,37,39,96,109
10,26,32,73,88
23,26,67,70,108
28,30,31,34,96
9,13,65,72,84
9,29,43,64,79
13,37,38,60,109
5,8,48,51,112
46,63,84,87,88
13,26,36,72,102
53,72,76,79,88
2,7,17,27,93
26,30,39,67,110
1,22,26,39,112
21,26,50,58,72
9,47,68,78,96
13,41,50,83,96
15,17,37,57,83
20,39,66,94,96
5,7,51,54,99
8,17,52,69,84
7,9,42,68,107
51,64,88,94,106
21,28,50,67,68
47,49,65,86,92
2,45,50,51,86
18,23,65,74,101
7,46,72,88,112
50,63,74,96,107
3,11,20,28,55
69,75,87,96,102
13,53,77,86,100
19,63,81,88,91
8,38,69,74,87
40,51,56,64,101
18,47,57,69,85
39,55,63,79,88
5,16,40,41,46
5,51,67,74,92
1,9,23,28,91
13,48,51,68,92
7,17,33,43,65
9,27,72,92,98
7,39,48,51,101
2,4,5,43,51
16,20,67,96,97
26,54,74,96,112
20,31,42,43,69
11,26,90,93,96
20,43,79,96,114
3,9,53,68,93
21,27,65,70,91
15,26,41,101,103
3,61,72,73,100
11,28,30,38,87
53,63,64,72,90
18,30,38,74,84
9,11,30,42,51
6,17,26,38,65
63,66,74,87,88
3,9,74,83,98
17,28,37,54,103
5,17,55,80,107
8,20,22,37,83
9,55,60,67,86
7,10,41,65,101
5,42,57,74,84
15,30,78,81,107
15,16,26,34,78
16,37,44,57,76
9,31,50,80,93
7,12,21,50,62
37,76,78,90,95
2,5,33,62,97
5,71,86,93,106
10,26,47,58,107
15,64,79,93,96
28,48,65,92,101
9,77,101,103,106
13,18,20,38,107
11,72,87,100,101
20,43,68,82,104
16,54,55,73,87
6,20,61,66,77
30,38,43,62,93
18,38,51,75,106
29,30,43,47,64
1,20,46,84,96
11,62,81,91,102
5,17,34,53,87
20,30,47,76,99
5,9,74,104,113
19,34,57,83,87
2,27,54,74,84
9,12,37,87,110
2,15,29,64,102
11,20,82,86,96
17,48,69,86,91
6,21,64,78,101
17,48,50,79,102
1,64,91,104,110
1,34,60,87,103
3,51,64,69,77
39,47,62,75,104
13,27,85,93,99
37,41,48,76,84
55,71,91,95,106
5,11,55,79,89
20,49,55,87,93
9,40,68,69,93
31,46,51,81,84
15,29,33,45,73
18,39,55,75,112
7,9,18,69,87
13,16,46,63,87
2,43,49,50,88
48,60,74,85,86
16,29,42,43,50
11,16,93,95,99
20,47,54,86,106
1,15,29,57,84
17,26,31,93,96
18,21,51,57,86
27,47,49,53,101
5,9,11,42,96
16,22,53,68,69
15,21,55,68,100
1,3,9,58,107
8,49,74,86,92
50,53,74,83,100
9,20,46,81,99
25,26,51,64,70
8,27,58,68,74
41,45,68,69,79
9,20,28,55,72
21,68,85,88,106
12,53,78,86,90
3,29,41,58,74
28,46,50,53,79
2,6,59,64,111
16,18,52,66,78
5,7,21,65,72
18,32,43,50,55
9,29,30,47,83
9,29,43,64,79
7,31,36,55,61
13,48,53,86,90
60,65,72,86,87
7,8,75,99,101
3,7,36,53,67
26,51,67,78,79
7,21,39,51,86
49,55,72,87,91
9,57,63,74,85
36,41,64,76,100
20,38,80,84,85
13,20,77,103,110
22,63,67,75,84
27,39,48,51,84
13,19,62,66,91
8,26,39,68,97
13,15,52,65,79
5,43,57,63,83
5,8,97,104,114
9,15,65,69,101
9,41,70,90,111
1,17,55,86,112
2,50,53,63,105
28,39,50,53,86
16,47,55,64,69
53,68,70,74,84
22,29,85,99,112
13,54,62,66,86
7,31,57,82,93
3,49,51,63,87
8,28,63,96,111
3,9,75,96,101
2,8,18,25,112
23,64,65,70,76
57,71,72,76,87
15,26,39,65,85
27,78,88,94,98
20,23,46,55,59
13,21,32,40,53
23,68,69,74,83
3,33,63,69,74
46,50,58,77,103
2,49,76,79,85
5,35,51,54,60
11,19,25,79,105
1,33,43,86,98
29,46,74,79,86
27,33,43,47,51
7,31,53,77,78
17,21,32,54,103
7,12,22,26,71
1,57,64,76,83
28,55,86,93,98
60,65,72,80,112
16,27,47,70,75
28,46,71,72,112
25,39,55,71,106
19,41,79,84,97
15,42,84,87,98
11,33,48,72,103
22,26,29,62,72
8,13,21,26,97
16,17,54,86,96
42,47,94,96,101
31,74,98,101,106
14,20,53,63,102
20,46,47,95,101
20,21,47,58,110
48,52,60,86,97
39,47,84,106,112
4,27,45,58,80
16,41,74,88,99
53,86,97,106,107
39,44,62,64,65
14,53,54,96,101
7,21,28,30,39
41,43,54,68,86
12,22,63,85,91
6,9,29,66,84
3,43,54,99,102
7,17,26,29,48
7,28,47,50,81
5,16,63,73,98
38,45,50,72,74
5,46,63,71,85
13,70,83,86,99
33,39,51,99,111
36,38,42,57,86
13,42,46,50,69
9,22,41,69,87
2,11,26,28,50
8,53,66,73,88
7,11,31,47,99
3,9,55,76,92
13,55,72,86,102
63,80,88,89,92
8,9,23,29,43
36,65,78,86,101
46,52,63,86,97
7,22,29,47,101
3,7,11,51,72
8,20,29,49,66
9,27,42,69,73
31,54,66,74,92
2,35,50,55,79
20,38,47,50,72
20,30,55,67,74
2,26,47,75,78
11,40,48,55,73
9,16,29,47,101
15,17,69,86,101
14,17,18,68,88
4,7,13,25,68
7,17,74,81,85
26,29,47,83,93
9,34,65,72,86
9,14,29,86,99
26,38,46,50,77
9,51,69,73,79
5,8,39,56,73
13,29,84,93,101
33,48,51,68,87
36,53,65,86,102
7,41,50,55,75
6,9,41,75,84
5,38,74,88,93
9,20,29,37,76
26,29,72,76,84
7,47,51,75,95
1,9,60,87,103
7,20,39,61,77
22,41,75,84,103
9,17,42,51,68
22,53,67,68,84
13,26,29,81,100
40,46,69,86,103
2,9,30,31,48
26,52,59,86,98
20,41,65,103,109
73,79,96,98,111
8,9,44,60,71
38,47,68,86,103
9,42,65,101,103
9,23,25,53,88
52,55,68,69,74
27,45,70,71,94
5,31,39,54,63
27,68,77,96,106
15,27,75,78,80
